indicator_code,indicator_name,domain_code,domain_name,pillar_code,pillar_name,pillar_weight,domain_weight_within_pillar,indicator_weight_within_domain,global_weight
D1.1,National oil pollution preparedness and response legislation in force,D1,Legal & Regulatory Basis,A,Governance & legal foundation,0.413642218445049,0.5022129608425095,0.10857110887427197,0.022554180340610075
D1.2,Ratification and domestication of OPRC 1990 and CLC/FUND conventions,D1,Legal & Regulatory Basis,A,Governance & legal foundation,0.413642218445049,0.5022129608425095,0.3469235430885403,0.07206867679949185
D1.3,Port-level statutory instrument for spill preparedness and response,D1,Legal & Regulatory Basis,A,Governance & legal foundation,0.413642218445049,0.5022129608425095,0.24490959748781593,0.05087665849745577
D1.4,Legal mandate and approval status of the national contingency plan,D1,Legal & Regulatory Basis,A,Governance & legal foundation,0.413642218445049,0.5022129608425095,0.2000356047364498,0.041554693053687725
D1.5,"Enforcement provisions, penalty schedule and prosecution record",D1,Legal & Regulatory Basis,A,Governance & legal foundation,0.413642218445049,0.5022129608425095,0.09956014581292195,0.020682274563506745
D2.1,Legally designated competent national authority for oil spill response,D2,Designated Authority & Command Structure,A,Governance & legal foundation,0.413642218445049,0.33028817128997573,0.09452546643787334,0.01291417621798008
D2.2,"Designated On-Scene Commander role, appointment and authority",D2,Designated Authority & Command Structure,A,Governance & legal foundation,0.413642218445049,0.33028817128997573,0.27724935585050964,0.037878120814438816
D2.3,Incident command system formally adopted and documented,D2,Designated Authority & Command Structure,A,Governance & legal foundation,0.413642218445049,0.33028817128997573,0.16625984058867682,0.022714607610496502
D2.4,"Clarity of inter-agency roles, delegation and hand-over points",D2,Designated Authority & Command Structure,A,Governance & legal foundation,0.413642218445049,0.33028817128997573,0.3225691008808788,0.044069755677841264
D2.5,24/7 duty officer roster and command continuity arrangements,D2,Designated Authority & Command Structure,A,Governance & legal foundation,0.413642218445049,0.33028817128997573,0.13939623624206146,0.019044471577787266
D3.1,Single 24/7 point of contact for spill notification,D3,Notification & Reporting,B,Operational preparedness & response,0.15334081734161745,0.21882539264538614,0.18671235476002593,0.006265107776275684
D3.2,Mandatory reporting thresholds and notification timelines defined,D3,Notification & Reporting,B,Operational preparedness & response,0.15334081734161745,0.21882539264538614,0.10120784645449188,0.0033960155805281777
D3.3,Standardised notification format (POLREP or equivalent) in use,D3,Notification & Reporting,B,Operational preparedness & response,0.15334081734161745,0.21882539264538614,0.20989816896786587,0.007043104631810608
D3.4,Escalation pathway and neighbouring-state / IMO notification,D3,Notification & Reporting,B,Operational preparedness & response,0.15334081734161745,0.21882539264538614,0.38008079884749246,0.012753559728455157
D3.5,Logged notification drill performance and response-time records,D3,Notification & Reporting,B,Operational preparedness & response,0.15334081734161745,0.21882539264538614,0.12210083097012378,0.004097076846274247
D4.1,Tier 1/2/3 definitions adopted with quantitative activation triggers,D4,Tiered Response Arrangements,B,Operational preparedness & response,0.15334081734161745,0.2717500233367203,0.12094744412361234,0.0050399248307667465
D4.2,Tier 2 regional and mutual-aid agreements formally concluded,D4,Tiered Response Arrangements,B,Operational preparedness & response,0.15334081734161745,0.2717500233367203,0.2541395496449817,0.010590089240964495
D4.3,"Tier 3 international assistance arrangements (e.g. OSRL, regional centre)",D4,Tiered Response Arrangements,B,Operational preparedness & response,0.15334081734161745,0.2717500233367203,0.2775964936567046,0.01156754879321234
D4.4,Documented activation criteria and escalation decision protocol,D4,Tiered Response Arrangements,B,Operational preparedness & response,0.15334081734161745,0.2717500233367203,0.09058774412732681,0.0037748248778522674
D4.5,Customs and immigration fast-track for cross-border response resources,D4,Tiered Response Arrangements,B,Operational preparedness & response,0.15334081734161745,0.2717500233367203,0.25672876844737463,0.010697982948260461
D5.1,Containment boom inventory sufficiency and deployment capacity,D5,Resources & Equipment,B,Operational preparedness & response,0.15334081734161745,0.24919587014073627,0.1071822290187295,0.0040956364461425905
D5.2,Mechanical recovery (skimmer) capacity against the design scenario,D5,Resources & Equipment,B,Operational preparedness & response,0.15334081734161745,0.24919587014073627,0.26254177059001543,0.010032219464995227
D5.3,Temporary storage and oily-waste handling and disposal capacity,D5,Resources & Equipment,B,Operational preparedness & response,0.15334081734161745,0.24919587014073627,0.09984051540292603,0.0038150956313329682
D5.4,"Dispersant policy, approved stockpile and application capability",D5,Resources & Equipment,B,Operational preparedness & response,0.15334081734161745,0.24919587014073627,0.2659986940076011,0.010164315071423728
D5.5,"Equipment maintenance, testing and readiness certification regime",D5,Resources & Equipment,B,Operational preparedness & response,0.15334081734161745,0.24919587014073627,0.2644367909807279,0.01010463179164155
D6.1,IMO OPRC Level 1/2/3 training coverage of designated personnel,D6,Training & Exercises,B,Operational preparedness & response,0.15334081734161745,0.2602287138771573,0.3684244289858456,0.014701491874855204
