indicator_code,indicator_name,domain_code,domain_name,pillar_code,pillar_name,doc_score,field_score,final_score,implementation_gap,evidence_source,weight,weighted_score,max_weighted_score,score_0_100,contribution_pct,shortfall_share_pct,weighting
D1.1,National oil pollution preparedness and response legislation in force,D1,Legal & Regulatory Basis,A,Governance & legal foundation,2,2,2,0,Budget allocation document,0.022554180340610075,0.04510836068122015,0.06766254102183022,66.66666666666667,2.9415755594036286,1.5379348168254465,AHP
D1.2,Ratification and domestication of OPRC 1990 and CLC/FUND conventions,D1,Legal & Regulatory Basis,A,Governance & legal foundation,2,1,1,1,Equipment inventory register,0.07206867679949185,0.07206867679949185,0.21620603039847552,33.333333333333336,4.699693251326779,9.828504124613268,AHP
D1.3,Port-level statutory instrument for spill preparedness and response,D1,Legal & Regulatory Basis,A,Governance & legal foundation,3,3,3,0,Inter-agency memorandum of understanding,0.05087665849745577,0.15262997549236731,0.15262997549236731,100.0,9.953201552005018,0.0,AHP
D1.4,Legal mandate and approval status of the national contingency plan,D1,Legal & Regulatory Basis,A,Governance & legal foundation,3,3,3,0,"Port contingency plan, Annex II",0.041554693053687725,0.12466407916106317,0.12466407916106317,100.0,8.129508651118275,0.0,AHP
D1.5,"Enforcement provisions, penalty schedule and prosecution record",D1,Legal & Regulatory Basis,A,Governance & legal foundation,3,2,2,1,Inter-agency memorandum of understanding,0.020682274563506745,0.04136454912701349,0.06204682369052024,66.66666666666667,2.69743668136517,1.4102924452141696,AHP
D2.1,Legally designated competent national authority for oil spill response,D2,Designated Authority & Command Structure,A,Governance & legal foundation,2,1,1,1,Inter-agency memorandum of understanding,0.01291417621798008,0.01291417621798008,0.03874252865394024,33.333333333333336,0.8421504253081237,1.7611955687424907,AHP
D2.2,"Designated On-Scene Commander role, appointment and authority",D2,Designated Authority & Command Structure,A,Governance & legal foundation,2,3,3,-1,Gazette notification (statutory instrument),0.037878120814438816,0.11363436244331646,0.11363436244331646,100.0,7.410246309634493,0.0,AHP
D2.3,Incident command system formally adopted and documented,D2,Designated Authority & Command Structure,A,Governance & legal foundation,3,2,2,1,Exercise after-action report,0.022714607610496502,0.045429215220993004,0.06814382283148951,66.66666666666667,2.9624989061638773,1.5488741052500559,AHP
D2.4,"Clarity of inter-agency roles, delegation and hand-over points",D2,Designated Authority & Command Structure,A,Governance & legal foundation,3,3,3,0,Site inspection checklist,0.044069755677841264,0.1322092670335238,0.1322092670335238,100.0,8.621540281209835,0.0,AHP
D2.5,24/7 duty officer roster and command continuity arrangements,D2,Designated Authority & Command Structure,A,Governance & legal foundation,3,3,3,0,IMO / regional convention status record,0.019044471577787266,0.057133414733361795,0.057133414733361795,100.0,3.7257451582561543,0.0,AHP
D3.1,Single 24/7 point of contact for spill notification,D3,Notification & Reporting,B,Operational preparedness & response,2,1,1,1,Equipment inventory register,0.006265107776275684,0.006265107776275684,0.01879532332882705,33.333333333333336,0.40855592252535106,0.8544160980170292,AHP
D3.2,Mandatory reporting thresholds and notification timelines defined,D3,Notification & Reporting,B,Operational preparedness & response,2,2,2,0,Exercise after-action report,0.0033960155805281777,0.006792031161056355,0.010188046741584533,66.66666666666667,0.442917289840443,0.23156907149367464,AHP
D3.3,Standardised notification format (POLREP or equivalent) in use,D3,Notification & Reporting,B,Operational preparedness & response,3,3,3,0,"Key-informant interview, port authority",0.007043104631810608,0.021129313895431823,0.021129313895431823,100.0,1.3778703637892549,0.0,AHP
D3.4,Escalation pathway and neighbouring-state / IMO notification,D3,Notification & Reporting,B,Operational preparedness & response,2,2,2,0,Equipment inventory register,0.012753559728455157,0.025507119456910313,0.03826067918536547,66.66666666666667,1.6633528253327472,0.8696455933509453,AHP
